Gender,Age,Salary,Purchase_iPhone
Female,33,36863,Yes
Male,30,83074,Yes
Male,43,26400,No
Male,19,100342,No
Male,59,114874,Yes
Female,28,28955,Yes
Male,43,43852,Yes
Female,46,134931,Yes
Female,24,35854,Yes
Male,59,121176,Yes
Male,40,66482,No
Male,37,86487,Yes
Male,59,129635,Yes
Male,41,28026,No
Male,44,23807,Yes
Female,52,91279,No
Male,18,124000,No
Male,49,53778,Yes
Female,55,145733,No
Male,54,68243,Yes
Male,20,138177,Yes
Female,26,94856,No
Male,33,49650,Yes
Male,56,33630,Yes
Female,24,79458,No
Male,33,97232,Yes
Female,26,49544,No
Female,50,97720,Yes
Male,19,97408,Yes
Female,31,111980,No
Male,48,106344,No
Female,44,105940,Yes
Male,37,82379,Yes
Male,31,126486,Yes
Female,32,139729,Yes
Female,55,129389,Yes
Male,59,24226,Yes
Female,46,98641,No
Female,31,138373,No
Female,50,104270,Yes
Male,41,117492,Yes
Male,21,98530,Yes
Male,57,56249,No
Female,29,96690,No
Female,35,88486,No
Female,19,85898,No
Male,33,99323,No
Female,39,105033,Yes
Female,26,117161,No
Female,53,116829,No
Female,23,97498,Yes
Female,28,141218,Yes
Male,52,44647,Yes
Male,27,109598,No
Male,30,149270,Yes
Female,54,135102,No
Female,26,137175,Yes
Female,40,33306,Yes
Female,45,49110,No
Female,59,99268,Yes
Male,49,126614,Yes
Female,32,96342,No
Female,45,25809,No
Male,19,126370,Yes
Female,40,67224,No
Male,45,121205,No
Male,37,91493,No
Female,43,136340,Yes
Male,55,45856,Yes
Male,23,50355,No
Female,43,149751,Yes
Female,32,25813,Yes
Male,56,73804,No
Male,26,127670,No
Female,31,93805,Yes
Female,42,89871,No
Female,58,24976,Yes
Male,46,77540,Yes
Female,29,50307,No
Male,52,79872,No
Female,57,112914,No
Female,60,146905,Yes
Female,25,63819,Yes
Male,60,102523,Yes
Female,54,118031,Yes
Female,43,116767,Yes
Female,54,60817,No
Female,56,149738,No
Male,59,37013,No
Female,47,24871,Yes
Female,27,73447,No
Male,28,119282,No
Female,52,120504,Yes
Male,57,99214,Yes
Male,32,71958,Yes
Female,60,68711,No
Male,41,94736,No
Male,22,135478,Yes
Female,19,75795,No
Male,26,114294,No
Male,43,138571,No
Female,27,46625,No
Male,28,121006,No
Male,18,55023,Yes
Female,18,99805,Yes
Female,54,51467,No
Female,59,92622,No
Female,46,43586,Yes
Female,56,135337,No
Male,20,72699,Yes
Female,28,147244,No
Female,29,63899,No
Female,30,93532,Yes
Male,60,99531,No
Male,27,32711,No
Female,59,122239,Yes
Male,55,27923,Yes
Female,24,30242,No
Male,47,147890,No
Female,21,81085,No
Male,23,55321,Yes
Male,45,128831,Yes
Female,22,96377,No
Female,28,78383,Yes
Female,25,86800,Yes
Female,23,54531,Yes
Male,28,44749,No
Female,51,26152,No
Female,31,141839,Yes
Male,21,61329,Yes
Male,58,20820,No
Male,57,103323,Yes
Female,20,82217,Yes
Male,57,129685,No
Male,35,116634,No
Female,47,37965,Yes
Female,44,121563,No
Male,53,137796,No
Male,32,91159,No
Female,50,136453,No
Female,49,131009,No
Female,50,69393,Yes
Female,24,143495,No
Female,35,92227,No
Female,24,45193,Yes
Male,24,148820,Yes
Male,41,144005,No
Female,31,116246,No
Female,40,87746,No
Male,40,25816,Yes
Male,56,95357,No
Male,20,109552,Yes
Male,54,117984,Yes
Male,29,45707,Yes
Male,33,41890,No
Female,35,113778,No
Male,49,101631,Yes
Male,26,66899,Yes
Male,49,69970,Yes
Female,52,36503,No
Male,57,108389,No
Male,22,33925,No
Female,53,139861,Yes
Female,26,61313,No
Female,20,81567,No
Male,57,34578,Yes
Male,45,21691,No
Male,40,69644,No
Female,36,124276,Yes
Male,58,30578,No
Male,37,104225,No
Female,25,148807,Yes
Female,45,125820,No
Female,46,49413,No
Female,47,141175,No
Male,24,119903,No
Male,40,30578,Yes
Female,28,105182,No
Male,42,66702,Yes
Male,50,119311,No
Male,28,20828,No
Female,26,92253,No
Male,60,100666,Yes
Female,24,79798,No
Male,27,134492,Yes
Male,50,82517,Yes
Female,45,46668,No
Male,20,123616,Yes
Male,42,114469,No
Female,43,71381,Yes
Female,34,87797,Yes
Female,41,34843,Yes
Female,47,55371,Yes
Female,18,58434,No
Female,48,23821,No
Male,22,87986,No
Male,54,83823,Yes
Male,29,131779,No
Female,55,134360,Yes
Female,47,31464,No
Male,56,55349,No
Male,55,130658,No
Female,45,118573,Yes
Male,18,51382,Yes
Male,51,144376,No
Female,47,29560,No
Male,23,70786,No
Female,37,142055,Yes
Male,52,73406,No
Female,56,25291,No
Female,31,149811,No
Male,53,144871,No
Female,47,79184,No
Female,53,40932,Yes
Male,38,102397,Yes
Male,52,89386,No
Female,40,53836,Yes
Female,57,69332,Yes
Female,27,23132,Yes
Male,22,47237,No
Male,41,53748,Yes
Female,59,33081,Yes
Male,23,113493,No
Male,42,23360,Yes
Male,31,111121,Yes
Male,20,102551,No
Female,56,42844,No
Male,54,100866,Yes
Male,60,60858,No
Female,53,25634,No
Male,53,98677,No
Male,50,63093,Yes
Male,52,55522,No
Female,55,124801,Yes
Female,30,104750,No
Male,34,134144,No
Male,48,129127,No
Male,19,86366,No
Female,45,108204,Yes
Male,49,138147,Yes
Female,41,89086,No
Female,25,134264,No
Female,47,35020,Yes
Male,44,123536,No
Female,39,149107,No
Male,28,40142,Yes
Male,38,99694,No
Male,45,65012,No
Female,23,39825,Yes
Male,26,40104,No
Male,55,21541,Yes
Female,56,115268,No
Female,29,92243,No
Female,32,135007,Yes
Male,35,147621,No
Male,25,36622,No
Female,33,86935,Yes
Male,20,50857,No
Male,19,139558,No
Female,24,45320,No
Female,24,28628,No
Male,57,140552,Yes
Female,18,118757,Yes
Female,45,59542,Yes
Female,39,134104,No
Male,48,136934,No
Male,38,109551,Yes
Male,31,51525,Yes
Male,58,46975,Yes
Male,26,118396,No
Female,60,71943,No
Male,52,117286,Yes
Male,42,59826,Yes
Female,50,64190,Yes
Female,22,39916,No
Female,21,62041,No
Female,52,124603,Yes
Female,52,149596,Yes
Female,33,148960,No
Female,56,147065,No
Female,50,148918,Yes
Male,21,73991,No
Male,22,65247,Yes
Male,48,33854,Yes
Female,57,105895,No
Male,43,142962,Yes
Female,27,47985,No
Male,22,48771,Yes
Male,24,142369,Yes
Male,41,39652,Yes
Female,51,76241,Yes
Male,47,54420,No
Female,22,53918,Yes
Male,60,145457,Yes
Male,56,142441,No
Male,52,120522,No
Male,60,57748,No
Female,58,95489,No
Male,49,97066,Yes
Female,58,31903,No
Female,53,132247,No
Female,23,136859,No
Female,32,139531,Yes
Male,35,99473,No
Female,56,29502,No
Male,41,109421,Yes
Male,32,89724,Yes
Female,51,118299,No
Female,59,36227,Yes
Male,59,123091,No
Female,31,111021,Yes
Male,26,130489,Yes
Female,20,56422,No
Male,22,110098,Yes
Male,35,140221,No
Female,53,34767,Yes
Female,18,99028,No
Male,29,89855,No
Male,41,136405,Yes
Male,59,149146,No
Male,26,76697,No
Male,59,81613,No
Male,53,79850,No
Female,36,51291,No
Female,20,56789,No
Female,22,47670,No
Female,20,137473,No
Female,32,131924,No
Female,50,84027,Yes
Female,42,74827,No
Female,54,72677,No
Female,57,26866,Yes
Male,42,74012,No
Male,20,147522,Yes
Female,57,26372,No
Female,28,97009,Yes
Female,49,102926,No
Male,53,143703,No
Female,26,101564,No
Female,57,71172,No
Female,22,42820,No
Male,59,130523,No
Female,23,100701,Yes
Female,23,41172,No
Female,24,119638,No
Male,44,114921,Yes
Male,48,77874,Yes
Male,59,76553,Yes
Male,38,77760,Yes
Male,27,118052,No
Male,52,23819,No
Male,30,131037,No
Male,26,128427,Yes
Female,38,41888,Yes
Male,46,91249,No
Female,18,20037,Yes
Female,23,26408,Yes
Male,52,108976,No
Female,20,118468,Yes
Female,21,40298,Yes
Male,18,142074,Yes
Female,33,53168,Yes
Male,21,103530,Yes
Male,36,30464,No
Female,45,42488,No
Female,47,133337,No
Male,38,41096,Yes
Female,48,22303,No
Female,51,101889,Yes
Female,22,74369,No
Female,18,80206,No
Female,41,27120,No
Male,29,139715,No
Male,59,132631,Yes
Male,34,126077,No
Female,59,101130,Yes
Male,59,91207,Yes
Female,21,121415,Yes
Male,59,83383,Yes
Female,18,24943,No
Female,27,82115,No
Female,38,146790,No
Male,58,88028,No
Female,57,85024,Yes
Male,45,108670,No
Male,60,65244,No
Female,51,137587,Yes
Female,25,109995,No
Male,53,69404,No
Female,54,94399,Yes
Male,25,34026,No
Male,49,143696,Yes
Male,19,146108,Yes
Male,32,128302,Yes
Male,33,83823,No
Male,18,141620,Yes
Female,51,123446,Yes
Male,19,99831,No
Male,40,40727,Yes
Female,25,40911,Yes
Female,34,56769,No
Female,51,133269,No
Female,47,108584,No
Male,60,117548,Yes
Male,52,107967,Yes
Male,39,136425,No
Female,43,26748,No
Female,19,48741,Yes
Male,60,145836,Yes
Female,31,58596,Yes
Male,40,118622,Yes
Male,34,114827,No
Female,39,50718,Yes
Male,32,133362,No
Female,39,103387,No
Male,47,83539,No
Female,29,102667,No
Male,34,125539,No
Male,48,31323,Yes
Female,44,148881,Yes
Female,39,111931,No
Female,29,30597,Yes
Female,52,149852,No
Female,29,78671,No
Male,38,51640,Yes
Female,21,67402,Yes
Female,53,56910,Yes
Male,49,33992,No
Female,35,67633,Yes
Male,50,113032,Yes
Male,32,70824,No
Male,41,37432,Yes
Female,27,128331,No
Female,59,75575,Yes
Female,25,90577,No
Female,21,106942,Yes
Male,32,123762,No
Female,46,93307,No
Male,47,38389,No
Male,48,101812,Yes
Male,37,58704,No
Female,48,135305,Yes
Female,20,112906,No
Male,26,119489,No
Male,28,23233,No
Male,21,116236,No
Female,32,105023,Yes
Male,54,143685,Yes
Male,22,30503,Yes
Female,48,32975,Yes
Male,37,121324,Yes
Female,19,147243,Yes
Female,40,104543,No
Female,23,24800,No
Male,50,27976,No
Male,18,36901,Yes
Male,23,113748,Yes
Male,28,123209,Yes
Male,34,59026,Yes
Female,49,126371,Yes
Female,23,84079,No
Female,45,54540,No
Female,29,58430,Yes
Female,19,99474,Yes
Female,57,46534,Yes
Male,32,134448,Yes
Male,55,40972,No
Male,19,125618,Yes
Male,45,36384,Yes
Female,47,140290,Yes
Female,48,64773,No
Female,33,54589,Yes
Female,33,38342,No
Female,40,62540,No
Female,25,68704,Yes
Female,38,32764,Yes
Male,44,122632,Yes
Male,41,126577,No
Female,19,146277,Yes
Female,53,98004,No
Male,43,74482,Yes
Female,41,86813,Yes
Female,36,98455,No
Female,42,79568,No
Female,29,21053,No
Female,46,60361,Yes
Male,52,60508,Yes
Male,31,86849,No
Male,36,36192,No
Female,57,134404,Yes
Female,52,115136,Yes
Female,24,112183,Yes
Female,36,20086,Yes
Male,34,90371,Yes
Female,22,71282,Yes
Female,25,110122,No
Male,19,26738,Yes
Male,25,59080,No
Female,32,72073,Yes
Female,26,144047,No
Female,19,20956,No
Female,23,78662,Yes
Female,58,33373,No
Female,31,43355,Yes
Male,40,28104,No
Male,38,58974,No
Male,35,67619,Yes
Male,26,93549,No
Male,54,42333,No
Female,32,40225,Yes
Female,51,129085,Yes
Female,55,104347,Yes
Female,39,63897,No
Female,22,144203,No
Female,19,146632,Yes
Female,44,99013,No
Male,32,119226,Yes
Female,43,149003,No
Male,45,103062,No
Male,48,25161,No
Female,27,86814,No
Male,19,78424,Yes
Female,37,73403,No
Male,44,29322,No
Female,43,23531,Yes
Male,52,127076,No
Male,30,56992,Yes
Male,50,115120,No
Male,22,81131,Yes
Male,51,42121,No
Male,49,34510,No
Male,23,47534,No
Male,49,103142,Yes
Female,46,144039,Yes
Male,35,22706,No
Male,41,44447,No
Female,34,122412,No
Female,51,35207,Yes
Male,22,62510,Yes
Female,59,31490,Yes
Female,59,114418,Yes
Female,45,88997,No
Female,26,107344,Yes
Male,58,118816,Yes
Female,47,42839,No
Female,43,126196,Yes
Male,57,100922,No
Female,39,130310,No
Female,53,51778,No
Male,39,149011,Yes
Female,37,32935,Yes
Male,34,69795,No
Female,46,29676,Yes
Female,24,122179,Yes
Female,60,58760,Yes
Male,44,132769,No
Female,60,137101,No
Male,33,42005,No
Male,54,74540,No
Female,53,22456,Yes
Female,37,35368,Yes
Female,36,25479,No
Male,45,24909,Yes
Male,56,133003,No
Male,55,142993,Yes
Female,36,139246,No
Female,26,147906,No
Female,37,98053,No
Male,55,146214,Yes
Female,35,116812,Yes
Male,60,28629,No
Female,30,77478,Yes
Female,28,31246,No
Female,40,144606,No
Male,50,72969,No
Male,27,55489,No
Female,40,128702,Yes
Male,60,74276,No
Female,52,22596,No
Male,47,37657,Yes
Female,28,78069,Yes
Female,19,117462,No
Male,43,93802,No
Male,22,75914,Yes
Female,53,68942,No
Male,46,128097,No
Male,28,131275,Yes
Female,22,147803,Yes
Female,50,98679,No
Female,43,72585,Yes
Female,29,80195,No
Male,30,73780,No
Female,30,135227,Yes
Female,51,133880,Yes
Male,41,59365,No
Male,54,141857,No
Male,57,139143,No
Male,26,138057,No
Female,27,88267,Yes
Female,21,75360,Yes
Male,55,20752,No
Female,55,87363,No
Male,56,97455,Yes
Female,30,72987,No
Female,34,100192,Yes
Male,36,135596,No
Female,52,33405,No
Male,47,133833,Yes
Male,60,70140,Yes
Female,56,65715,No
Male,24,38438,Yes
Male,39,149090,No
Male,22,25702,Yes
Male,53,69854,Yes
Female,57,147710,No
Male,36,109403,No
Female,51,32883,Yes
Male,44,27886,Yes
Female,18,63245,Yes
Male,46,133814,Yes
Female,29,146448,Yes
Female,35,44689,Yes
Male,56,124139,No
Male,41,43018,Yes
Female,57,74947,No
Female,30,25257,Yes
Female,28,90999,Yes
Male,31,71654,No
Female,37,144262,Yes
Male,38,30481,No
Male,25,69870,Yes
Female,40,73108,No
Female,45,106900,Yes
Male,40,109677,No
Female,43,46177,Yes
Female,52,98375,Yes
Female,44,66203,No
Male,46,84898,Yes
Female,26,28262,No
Male,55,114690,No
Female,52,144463,No
Male,53,127847,No
Male,59,20271,No
Female,18,118079,Yes
Female,47,53245,No
Male,49,64150,Yes
Male,47,70431,Yes
Female,58,79198,No
Male,39,21289,No
Male,35,99507,Yes
Female,26,79205,Yes
Female,42,30078,No
Female,51,21204,Yes
Male,56,91267,Yes
Male,37,44702,Yes
Male,32,95907,Yes
Female,31,65371,No
Female,57,85997,No
Female,21,109180,No
Female,45,97087,Yes
Female,39,144297,No
Male,57,139238,No
Male,58,71168,Yes
Male,30,64717,No
Male,22,75880,No
Female,26,118965,Yes
Female,57,109983,Yes
Male,39,23507,No
Male,60,110315,No
Male,53,62306,Yes
Male,21,73506,Yes
Female,43,124502,No
Male,49,102128,Yes
Male,38,136421,Yes
Male,55,25436,No
Female,21,77563,No
Male,45,133076,No
Male,35,71361,No
Male,54,115916,Yes
Female,34,67291,No
Male,30,97328,Yes
Female,53,130758,Yes
Female,28,126929,Yes
Male,40,84871,Yes
Female,42,146093,Yes
Female,52,109075,Yes
Male,20,75640,Yes
Male,57,127983,Yes
Male,36,103308,Yes
Female,59,22484,Yes
Female,19,140876,Yes
Female,42,132228,Yes
Female,50,79310,Yes
Female,53,34374,No
Male,35,87044,No
Female,37,146769,Yes
Female,36,78768,Yes
Female,33,57296,Yes
Male,46,20379,Yes
Female,40,26970,No
Male,59,58655,Yes
Male,57,64356,No
Male,41,93883,No
Female,55,66208,No
Female,20,21032,No
Male,43,25716,Yes
Male,22,94508,No
Female,33,134346,No
Female,20,56383,Yes
Female,21,144590,No
Male,44,137202,Yes
Female,58,23470,No
Male,21,82403,Yes
Female,32,128478,No
Female,18,53247,No
Female,52,77294,No
Male,19,46694,Yes
Male,47,89727,Yes
Male,49,125358,No
Female,39,70848,No
Female,30,108254,Yes
Male,35,71527,No
Female,49,31865,Yes
Male,57,50806,No
Male,59,49294,Yes
Male,32,130092,Yes
Male,45,45668,No
Male,34,114444,No
Male,43,95789,Yes
Female,51,126846,No
Male,40,82699,No
Female,41,75099,Yes
Female,56,74528,No
Female,38,27213,Yes
Female,19,58683,Yes
Female,41,91232,Yes
Female,39,77643,Yes
Female,52,39376,Yes
Female,31,34497,Yes
Male,30,51650,Yes
Male,35,39807,Yes
Male,28,49893,No
Female,21,75192,No
Male,53,47126,No
Female,32,86545,No
Male,23,107125,No
Female,29,50080,Yes
Male,35,128217,No
Female,54,114947,No
Male,26,135996,Yes
Male,30,94843,No
Male,47,42158,Yes
Female,43,46250,Yes
Male,41,67419,Yes
Male,28,138445,No
Male,23,31571,Yes
Female,34,46629,Yes
Female,36,124505,Yes
Female,20,85710,Yes
Male,51,135100,Yes
Female,49,138970,No
Male,50,75985,Yes
Male,52,47048,No
Male,27,123013,Yes
Male,36,128057,No
Female,41,142969,Yes
Female,39,54414,Yes
Female,58,82697,Yes
Male,55,93022,No
Male,58,115233,Yes
Male,45,134079,Yes
Female,29,28889,Yes
Male,34,44967,Yes
Male,18,30405,No
Female,31,143808,No
Male,42,144411,No
Female,28,86198,No
Female,50,118834,No
Female,54,142348,No
Female,36,130034,No
Female,56,88613,Yes
Female,31,24384,Yes
Female,25,113294,Yes
Female,22,52695,Yes
Female,40,94070,No
Female,50,26181,Yes
Female,55,22098,No
Female,25,23344,Yes
Female,59,51421,Yes
Male,46,47418,No
Female,45,92618,No
Female,59,149867,Yes
Female,42,52930,Yes
Female,35,116098,Yes
Female,60,131080,Yes
Female,21,59957,No
Male,31,68166,Yes
Female,30,52883,No
Male,20,99665,Yes
Female,36,23305,No
Female,58,100192,Yes
Female,24,45299,Yes
Female,20,136492,No
Female,45,77580,No
Male,47,121797,Yes
Male,56,72705,No
Male,31,101023,No
Male,35,146035,No
Female,54,118251,Yes
Male,37,122336,Yes
Male,47,31064,Yes
Male,56,46589,No
Male,53,37632,No
Female,33,56367,No
Male,35,84091,No
Male,44,38166,Yes
Male,54,47495,Yes
Male,19,29262,No
Male,20,80294,No
Female,51,127553,Yes
Male,48,120262,No
Female,33,128853,Yes
Male,42,93250,Yes
Male,56,143172,No
Male,19,24262,Yes
Female,55,54602,No
Female,30,81793,No
Male,23,129361,No
Male,37,118651,No
Male,29,129140,Yes
Female,45,108347,Yes
Male,54,103884,No
Male,18,91926,Yes
Male,30,60696,No
Female,26,64005,No
Male,29,125371,Yes
Female,44,27793,Yes
Male,54,58082,Yes
Male,24,86966,No
Male,49,52605,Yes
Male,56,97640,Yes
Male,24,90741,Yes
Male,59,20267,No
Male,51,27074,Yes
Female,34,85334,Yes
Male,20,25495,No
Male,47,100051,No
Female,26,127844,No
Female,52,130981,No
Female,44,51229,Yes
Male,34,96721,No
Male,55,142367,No
Male,44,100159,Yes
Female,33,100258,No
Female,44,143304,Yes
Female,38,147369,No
Female,36,40284,Yes
Male,24,136959,Yes
Female,43,81061,Yes
Male,25,100976,No
Male,57,115778,No
Male,55,121407,No
Male,26,36226,Yes
Female,21,139552,Yes
Female,41,56814,Yes
Female,41,82409,Yes
Male,44,49980,No
Male,39,32757,Yes
Female,25,91258,Yes
Female,25,92431,No
Female,23,100409,No
Male,41,36373,Yes
Male,51,136143,Yes
Male,27,87761,No
Female,56,30402,No
Female,28,113785,Yes
Female,33,44573,Yes
Female,31,126007,Yes
Female,32,141836,Yes
Male,50,138294,No
Male,54,32733,Yes
Female,39,93226,No
Female,43,101610,Yes
Male,26,98373,No
Female,28,88917,Yes
Female,43,138690,No
Female,55,124171,No
Female,21,100889,Yes
Male,42,108573,No
Female,54,120048,Yes
Female,58,92791,No
Female,20,137632,Yes
Female,54,128529,No
Male,28,79069,No
Male,56,44640,No
Male,55,88392,No
Female,30,125301,No
Male,29,90691,No
Male,28,63785,No
Male,31,146249,No
Male,46,122217,Yes
Female,56,46862,No
Female,30,73051,No
Female,36,49478,No
Male,29,112287,Yes
Male,22,140684,Yes
Female,58,103235,Yes
Male,43,103712,Yes
Male,35,149322,No
Female,20,98230,No
Female,20,126663,No
Male,54,20722,Yes
Female,42,21269,No
Female,51,64486,No
Female,18,84575,Yes
Female,39,26017,Yes
Male,24,20613,No
Female,58,28750,No
Male,60,23732,Yes
Male,25,62138,Yes
Male,43,56499,No
Male,53,79595,No
Female,47,89876,No
Male,54,32865,No
Male,29,72040,Yes
Female,31,27355,No
Female,38,106644,No
Male,24,72291,No
Female,46,116395,Yes
Female,27,48861,Yes
Female,54,86390,Yes
Male,43,97927,Yes
Male,30,147254,No
Female,18,90865,Yes
Female,22,111586,Yes
Male,43,148627,No
Female,19,36579,No
Female,58,138740,Yes
Male,31,91665,No
Male,54,148969,Yes
Male,23,80362,Yes
Male,54,30510,No
Female,56,65322,Yes
Male,52,28881,Yes
Male,46,64419,No
Female,49,100385,Yes
Male,47,41358,Yes
Male,24,34607,No
Female,22,52229,Yes
Female,46,88172,No
Male,42,93973,No
Female,35,127800,Yes
Female,30,73269,Yes
Male,33,126580,No
Male,20,141891,Yes
Male,36,148457,Yes
Male,23,58149,Yes
Female,59,140634,No
Female,36,99323,No
Male,59,109238,No
Female,31,88790,Yes
Female,24,140984,Yes
Male,56,36362,No
Male,33,139325,No
Male,41,36914,No
Male,23,87420,Yes
Male,21,68976,No
Male,48,79462,No
Male,41,84423,Yes
Female,60,80055,No
Female,37,140617,Yes
Female,42,63403,Yes
Male,42,133028,Yes
Male,58,93764,Yes
Male,23,116079,No
Female,60,134999,No
Male,38,134343,Yes
Female,18,93205,No
Female,25,98345,Yes
Female,20,93625,Yes
Male,23,103415,Yes
Male,43,137302,Yes
Female,35,58629,No
Female,32,60762,Yes
Female,48,108372,Yes
Female,28,111663,No
Male,43,80420,Yes
Female,43,51203,Yes
Male,25,69727,No
Male,58,124933,Yes
Female,21,50340,Yes
Female,44,86636,No
Female,54,20728,No
Male,53,93036,Yes
Female,59,145336,Yes
Female,53,57936,No
Female,43,77291,Yes
Male,38,65553,No
Female,18,108987,No
Male,41,25078,No
Male,35,97549,No
Male,35,42537,Yes
Male,34,131749,Yes
Male,19,109677,No
Male,22,95105,Yes
Male,32,32135,No
Male,20,66306,Yes
Female,39,133339,No
Male,58,21513,No
Male,56,45585,Yes
Male,34,43082,No
Female,19,143959,No
Male,28,144252,No
Female,18,96354,No
Female,42,148165,No
Female,39,99299,Yes
Female,27,139044,No
Male,20,143838,No
Male,56,69139,Yes
Female,30,86181,Yes
Male,52,89712,No
Female,26,36896,No
Female,35,70728,No
Male,18,73508,No
Female,25,87751,No
Male,25,53048,Yes
Female,25,68487,Yes
Female,28,83846,No
Male,49,36460,No
Male,23,92380,No
Female,53,118044,Yes
Female,46,20801,Yes
Female,32,142562,Yes
Male,32,145582,Yes
Male,53,101294,Yes
Male,43,109846,Yes
Male,60,135408,No
Female,37,68552,Yes
Female,35,148584,No
Male,24,63533,Yes
Male,48,122254,No
Female,37,117671,No
Female,51,39931,No
Female,38,55668,No
Male,20,84683,Yes
Female,35,63567,No
Male,60,61793,Yes
Female,32,62079,No
Male,49,74246,No
Female,22,67197,Yes
Female,40,104271,Yes
Male,27,20325,Yes
Male,36,34373,No
Male,46,59806,No
Female,22,83707,No
Female,60,127799,Yes
Female,46,117699,Yes
Male,31,125729,Yes
Male,56,120951,Yes
Female,51,42179,Yes
Male,55,118956,Yes
Male,49,141369,No
Female,27,109380,No
Male,42,69654,Yes
Female,29,99088,No
Female,52,106671,No
Male,41,129997,No
Male,52,24248,Yes
Female,42,23487,No
Male,26,131279,No
Female,35,45903,No
Female,58,91935,No
Male,36,69374,No
Female,39,68638,Yes
Female,49,144616,No
Female,28,66940,No
Male,43,129888,Yes
Female,31,100329,No
Male,40,66745,Yes
Female,31,24804,No
Female,27,109612,No
Female,49,24187,No
Male,39,23175,Yes
Female,58,35173,No
Male,35,24372,No
Female,42,145584,Yes
Male,23,60599,Yes
Male,27,78028,No
Female,30,42510,No
Male,38,44729,No
Female,59,44939,No
Male,46,82583,Yes
Female,37,47809,No
Female,58,89453,No
Female,60,27310,Yes
Male,57,85701,No
Female,60,116790,No
Female,51,39146,No
Male,37,85849,No
Male,38,69024,No
Female,57,83598,Yes
Male,46,25234,No
Male,50,93580,Yes
Female,51,94096,Yes
Male,29,63614,Yes
Male,60,116906,No
Male,32,84036,Yes
Male,22,64118,No
Female,19,129115,No
Female,39,102571,No
Female,48,141517,No
Male,24,47920,No
Male,29,50458,Yes
Male,25,109981,No
Male,36,128870,No
Female,56,112429,Yes
Female,48,97693,Yes
Male,54,137288,No
Female,37,22941,Yes
Female,24,138552,No
Female,53,104335,No
Male,42,93777,No
Female,18,107436,Yes
Female,30,63937,Yes
Female,52,110635,Yes
Male,23,82195,Yes
Male,44,21607,No
Male,27,78221,Yes
Male,60,62734,Yes
Male,60,56591,No
Male,28,49414,No
Female,19,127067,Yes
Male,42,52465,No
Male,53,32383,No
Male,40,77662,No
Male,31,80876,Yes
Female,24,58895,Yes
Male,50,127713,Yes
Female,18,61132,No
Male,44,37080,Yes
Male,44,113091,No
Male,38,49323,Yes
Male,54,45911,No
Female,58,137288,Yes
Male,40,69550,No
Female,56,138085,No
Male,43,146842,No
Female,34,40628,No
Female,47,41656,Yes
Male,51,79547,Yes
Male,32,146566,Yes
Female,21,32400,No
Female,38,54388,Yes
Female,55,21897,No
Male,50,29321,Yes
Male,58,99408,Yes
Female,54,124123,Yes
Female,33,68749,Yes
Female,35,64586,No
Female,41,62949,Yes
Female,33,115406,No
Male,53,132748,Yes
Male,30,101037,No
Male,53,107229,Yes
Female,23,98535,No
Male,30,85489,Yes
Male,59,83266,No
Male,18,26591,No
Female,24,65150,No
Female,46,36563,No
Female,47,113018,Yes
Male,30,57676,Yes
Male,41,23295,Yes
Male,34,97055,No
Female,50,86629,No
Male,19,40051,No
Male,39,112555,Yes
Male,31,136633,Yes
Male,56,91218,No
Male,45,99197,No
Female,21,132992,Yes
Male,26,112502,Yes
Male,18,23345,Yes
Female,22,80556,No
Female,53,53758,No
Male,37,103665,No
Female,57,86041,Yes
Male,42,118043,Yes
Female,39,103215,Yes
Female,36,45395,Yes
Female,50,30844,Yes
Female,36,97361,No
Male,35,32525,Yes
Female,33,82640,Yes
Male,44,75022,No
Male,41,34425,No
Male,29,85492,Yes
Male,25,101558,No
Female,48,55710,Yes
Male,19,141372,Yes
Female,22,47864,No
Male,55,41729,Yes
Male,26,83615,No
Female,35,138733,No
Male,27,36719,Yes
Male,55,101848,No
Female,40,96301,Yes
Female,23,138164,No
Male,37,100590,No
Male,21,39142,Yes
Female,52,125739,No
Female,37,111197,Yes
Male,18,110939,Yes
Male,52,94229,No
Female,58,20071,No
Male,29,125903,No
Male,60,40998,No
Female,54,139236,No
Male,23,103211,No
Male,29,149592,Yes
Female,23,122258,No
Male,33,48708,No
Female,24,144676,Yes
Male,31,77322,Yes
Male,25,149049,Yes
Female,22,125014,No
Male,31,72980,Yes
Male,24,74891,Yes
Male,46,146760,No
Female,45,44372,Yes
Female,49,140772,Yes
Female,36,68881,No
Male,37,42713,No
Male,59,45758,No
Female,37,104940,Yes
Female,50,129611,No
Male,40,128088,No
Female,33,149700,Yes
Male,34,140265,No
Male,46,56328,Yes
Male,42,147335,Yes
Male,46,55376,Yes
Male,36,142413,No
Male,57,88659,No
Female,40,24527,No
Male,24,142388,Yes
Male,32,40426,No
Male,53,149981,Yes
Female,50,91437,Yes
Male,41,21440,No
Female,41,33370,Yes
Male,47,82172,Yes
Female,19,34132,No
Female,54,136630,Yes
Female,20,43329,No
Female,21,113346,Yes
Male,32,114601,Yes
Male,34,99224,No
Female,50,90214,Yes
Female,46,44099,Yes
Female,41,95554,Yes
Male,50,93867,No
Male,43,112321,No
Male,52,23058,Yes
Female,55,113429,No
Male,20,115570,No
Male,53,97883,Yes
Female,19,80860,No
Male,23,39138,Yes
Female,21,87661,No
Female,29,108274,Yes
Female,54,25796,Yes
Female,30,145179,Yes
